college_name_standardized,short_name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url
Assam University,Assam University,East,Silchar,Assam,GFTI (Central University),1994,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering,https://www.aus.ac.in,https://www.shiksha.com/university/assam-university-silchar-10779
Birla Institute of Technology Mesra,BIT Mesra,East,Ranchi,Jharkhand,GFTI (Deemed University),1955,58.0,B.Tech | M.Tech | Ph.D | M.Sc | MBA | MCA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Production Engineering | Space Engineering | Biotechnology | Architecture,https://www.bitmesra.ac.in,https://www.shiksha.com/university/bit-mesra-ranchi-11119
Birla Institute of Technology Deoghar Off-Campus,BIT Deoghar,East,Deoghar,Jharkhand,GFTI (Deemed University),2013,,B.Tech,Computer Science | Electronics & Communication | Mechanical Engineering | Civil Engineering | Electrical Engineering,https://www.bitmesra.ac.in/deoghar,https://www.shiksha.com/university/bit-deoghar-deoghar-79345
Birla Institute of Technology Patna Off-Campus,BIT Patna,East,Patna,Bihar,GFTI (Deemed University),2013,,B.Tech,Computer Science | Electronics & Communication | Mechanical Engineering | Civil Engineering | Electrical Engineering,https://www.bitmesra.ac.in/patna,https://www.shiksha.com/university/bit-patna-patna-79346
Central Institute of Technology Kokrajhar,CIT Kokrajhar,East,Kokrajhar,Assam,GFTI (Central Govt),2006,,B.Tech | M.Tech,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Information Technology,https://www.cit.ac.in,https://www.shiksha.com/university/cit-kokrajhar-kokrajhar-36520
Central University of Haryana,CUH Mahendragarh,North,Mahendragarh,Haryana,GFTI (Central University),2009,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering,https://www.cuh.ac.in,https://www.shiksha.com/university/central-university-of-haryana-mahendragarh-36521
Central University of Jammu,CUJ Jammu,North,Jammu,Jammu & Kashmir,GFTI (Central University),2011,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering,https://www.cujammu.ac.in,https://www.shiksha.com/university/central-university-of-jammu-jammu-79347
Central University of Jharkhand,CUJ Ranchi,East,Ranchi,Jharkhand,GFTI (Central University),2009,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Civil Engineering | Nanotechnology | Integrated Water Management,https://www.cuj.ac.in,https://www.shiksha.com/university/central-university-of-jharkhand-ranchi-36522
Central University of Rajasthan,CURAJ Ajmer,North,Ajmer,Rajasthan,GFTI (Central University),2009,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Chemical Engineering | Biotechnology | Mathematics,https://www.curaj.ac.in,https://www.shiksha.com/university/central-university-of-rajasthan-ajmer-36523
Chhattisgarh Swami Vivekanand Technical University,CSVTU Bhilai,Central,Bhilai,Chhattisgarh,GFTI (State University),2005,,B.Tech | M.Tech | Ph.D | MBA | MCA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering,https://www.csvtu.ac.in,https://www.shiksha.com/university/csvtu-bhilai-36524
Gati Shakti Vishwavidyalaya,GSV Vadodara,West,Vadodara,Gujarat,GFTI (Central University),2022,,B.Tech | M.Tech,Railway Engineering | Civil Engineering | Electrical Engineering | Mechanical Engineering | Computer Science | Logistics & Supply Chain,https://www.gsv.ac.in,https://www.shiksha.com/university/gati-shakti-vishwavidyalaya-vadodara-200001
Ghani Khan Choudhury Institute of Engineering & Technology,GKCIET Malda,East,Malda,West Bengal,GFTI (Central Govt),2013,,B.Tech | M.Tech,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering,https://www.gkciet.ac.in,https://www.shiksha.com/university/gkciet-malda-malda-79348
