CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1721,"SS College of Engineering, Udaipur","Udaipur, Rajasthan",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,08,000",N/A,N/A,3.5 / 5,Based on 15 User Reviews,N/A,N/A,2026-06-07 14:23:38
#1722,"Nigam Institute of Engineering and Technology - [NIET], Bhubaneswar","Bhubaneswar, Odisha","AICTE, UGC Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000",N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 14:23:40
#1723,"Elitte College of Engineering - [ECE], Kolkata","Kolkata, West Bengal",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,01,000","₹ 3,25,000","₹ 6,35,000",3.9 / 5,Based on 14 User Reviews,N/A,N/A,2026-06-07 14:23:43
#1724,"Swami Parmanand College of Engineering and Technology- [SPCET], Mohali","Mohali, Punjab",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,66,000",N/A,N/A,3 / 5,Based on 7 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:23:45
#1725,"Loyola-ICAM College of Engineering and Technology - [LICET], Chennai","Chennai, Tamil Nadu","AICTE, NBA Approved",N/A,552/1000,B.Tech Information Technology,"₹ 2,00,000","₹ 17,00,000",N/A,4.2 / 5,Based on 20 User Reviews,Best in Infrastructure,#418th/500 in India for Engineering 2026,2026-06-07 14:23:48
#1726,"Chinmaya Vishwa Vidyapeeth - [CVV], Kochi","Kochi, Kerala","NCTE, AICTE, UGC Approved",N/A,N/A,B.Tech Data Science,"₹ 9,56,850","₹ 3,50,000","₹ 7,00,000",3.9 / 5,Based on 23 User Reviews,Best in Placements,N/A,2026-06-07 14:23:51
#1727,"St Thomas College of Engineering and Technology - [STM], Kannur","Kannur, Kerala",AICTE Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 5,02,000",N/A,N/A,4.2 / 5,Based on 9 User Reviews,Best in Faculty,N/A,2026-06-07 14:23:54
#1728,"BRCM College of Engineering and Technology - [BRCMCET], Bhiwani","Bhiwani, Haryana","AICTE, UGC, NBA Approved",B+,N/A,B.Tech Computer Science and Engineering,"₹ 3,20,000",N/A,N/A,3.9 / 5,Based on 33 User Reviews,Best in Accomodation,N/A,2026-06-07 14:23:57
#1729,"Compucom Institute of Technology & Management - [CITM], Jaipur","Jaipur, Rajasthan",AICTE Approved,N/A,N/A,B.Tech Civil Engineering,"₹ 3,34,000","₹ 3,60,000","₹ 14,70,000",3.5 / 5,Based on 37 User Reviews,Best in Faculty,N/A,2026-06-07 14:24:00
#1730,"Spintronic Technology and Advance Research Centre - [STAR], Bhubaneswar","Bhubaneswar, Odisha","AICTE, UGC Approved",N/A,N/A,B.Tech Civil Engineering,"₹ 2,20,000",N/A,N/A,3.5 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:24:02
