CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1,"BITS Pilani, Pilani","Pilani, Rajasthan",UGC Approved,A++,990/1000,BE Computer Science,"₹ 25,29,200","₹ 22,00,000","₹ 1,46,68,000",4.4 / 5,Based on 720 User Reviews,Best in Social Life,#4th/500 in India for Engineering 2026,2026-06-07 22:13:21
#2,"Indian Institute of Information Technology - [IIIT], Allahabad","Allahabad, Uttar Pradesh","AICTE, UGC Approved",,914/1000,B.Tech Information Technology,"₹ 9,65,640","₹ 33,00,000","₹ 1,21,00,000",4.3 / 5,Based on 241 User Reviews,Best in Placements,#19th/500 in India for Engineering 2026,2026-06-07 22:13:25
#3,"International Institute of Information Technology - [IIIT-B], Bangalore","Bangalore, Karnataka","AICTE, UGC Approved",A+,890/1000,B.Tech + M.Tech Computer Science & Engineering,"₹ 38,32,000","₹ 21,80,000","₹ 65,00,000",4.2 / 5,Based on 51 User Reviews,Best in Academics,#32th/500 in India for Engineering 2026,2026-06-07 22:13:29
#4,"Birla Institute of Technology and Science - [BITS], South Goa","South Goa, Goa",UGC Approved,A,772/1000,BE Computer Science,"₹ 25,29,200","₹ 17,00,000","₹ 20,75,099",4.3 / 5,Based on 130 User Reviews,Best in Infrastructure,#109th/500 in India for Engineering 2026,2026-06-07 22:13:33
#5,"Birla Institute of Technology and Science - [BITS], Hyderabad","Hyderabad, Telangana","AICTE, UGC Approved",A,789/1000,BE Computer Science,"₹ 25,29,200","₹ 20,77,914","₹ 1,00,00,000",4.5 / 5,Based on 217 User Reviews,Best in Infrastructure,#96th/500 in India for Engineering 2026,2026-06-07 22:13:36
#6,"Vellore Institute of Technology - [VIT University], Vellore","Vellore, Tamil Nadu","AICTE, ICAR, UGC, NBA, MHRD Approved",A++,867/1000,B.Tech Computer Science and Engineering,"₹ 7,83,000","₹ 1,00,00,000",,4.1 / 5,Based on 3642 User Reviews,Best in Infrastructure,#44th/500 in India for Engineering 2026,2026-06-07 22:13:39
#7,"National Institute of Technology - [NIT], Kurukshetra","Kurukshetra, Haryana","AICTE, UGC, NBA, MHRD Approved",,894/1000,B.Tech Artificial Intelligence & Machine Learning,"₹ 6,86,600","₹ 13,21,000","₹ 63,12,000",4.1 / 5,Based on 873 User Reviews,Best in Social Life,#29th/500 in India for Engineering 2026,2026-06-07 22:13:43
#8,"Indian Institute of Space Science and Technology - [IIST], Thiruvananthapuram","Thiruvananthapuram, Kerala","AICTE, UGC Approved",A++,1006/2000,B.Tech Aerospace Engineering,"₹ 5,97,150","₹ 10,00,000","₹ 28,00,000",4.1 / 5,Based on 59 User Reviews,Best in Academics,#60th/500 in India for Engineering 2025,2026-06-07 22:13:46
#9,"Thapar Institute of Engineering and Technology - [Thapar University], Patiala","Patiala, Punjab","AICTE, UGC, NBA Approved",A++,858/1000,BE Computer Science And Engineering,"₹ 26,31,500","₹ 11,38,000","₹ 1,23,00,000",3.9 / 5,Based on 895 User Reviews,Best in Infrastructure,#48th/500 in India for Engineering 2026,2026-06-07 22:13:49
#10,"Birla Institute of Technology - [BIT Mesra], Ranchi","Ranchi, Jharkhand","AICTE, PCI, UGC, NBA Approved",A,888/1000,B.Tech Computer Science and Engineering,"₹ 16,77,000","₹ 11,77,000","₹ 1,45,00,000",3.7 / 5,Based on 1040 User Reviews,Best in Social Life,#35th/500 in India for Engineering 2026,2026-06-07 22:13:52
