canonical_tag,synonym_count,synonyms,applied_counts,total_applied,max_applied,creation_dates,earliest_synonym,latest_synonym
reactjs,4,react-component|react.js|react-jsx|react,390|1469|3593|99773,105225,99773,2022-07-19|2020-04-23|2016-10-22|2015-04-30,2015-04-30,2022-07-19
arrays,16,array-of-dict|chararray|arrayofstring|arraycopy|bytearray|static-array|swift-array|character-arrays|sub-arrays|mongodb-arrays|jsonarray|char-array|string-array|javascript-array|array-of-objects|array,1|6|2|21|3389|55|198|188|20|20|488|22|76|69|46|91178,95779,91178,2023-10-09|2023-10-09|2023-10-09|2018-08-22|2016-07-24|2016-06-13|2015-09-19|2015-03-15|2015-03-15|2015-01-29|2014-10-20|2014-10-20|2014-10-20|2014-01-02|2011-10-02|2010-07-22,2010-07-22,2023-10-09
javascript,14,vanillajs|vanilla-js|javascript-module|vanilla-javascript|javascript-runtime|javascript-library|javascript-disabled|javascript-dom|javascript-alert|classic-javascript|javascript-execution|.js|ecmascript|js,132|54|22|99|3|119|20|31|4|0|50|752|662|61292,63240,61292,2018-10-10|2018-10-10|2015-11-12|2015-11-10|2015-05-18|2015-04-11|2014-06-10|2014-03-27|2013-11-07|2012-03-30|2010-09-07|2010-08-11|2010-08-02|2010-07-16,2010-07-16,2018-10-10
ruby-on-rails,2,ror|rails,902|59276,60178,59276,2011-08-11|2010-07-16,2010-07-16,2011-08-11
node.js,2,io.js|nodejs,118|47371,47489,47371,2015-01-21|2013-07-18,2013-07-18,2015-01-21
amazon-web-services,1,aws,40031,40031,40031,2010-07-19,2010-07-19,2010-07-19
loops,3,iterate|looping|loop,2216|1437|34196,37849,34196,2012-09-15|2010-07-30|2010-07-22,2010-07-22,2012-09-15
unity-game-engine,6,unity3d|unity3d-5|unity5.3|unity5|unity2d|unity,268|26|18|4292|6785|23520,34909,23520,2023-05-04|2017-10-25|2017-06-19|2017-10-25|2017-06-19|2016-04-27,2016-04-27,2023-05-04
forms,2,html-form|form,98|33347,33445,33347,2019-05-13|2010-08-15,2010-08-15,2019-05-13
model-view-controller,1,mvc,32403,32403,32403,2010-08-26,2010-08-26,2010-08-26
user-interface,2,gui|ui,21388|9453,30841,21388,2012-08-20|2010-07-16,2010-07-16,2012-08-20
ionic-framework,1,ionic,26346,26346,26346,2015-07-11,2015-07-11,2015-07-11
multithreading,6,cross-threading|thread|threads|multi-threaded|multithread|threading,121|14244|5654|35|697|5582,26333,14244,2012-07-04|2010-08-08|2010-07-29|2010-07-17|2010-07-16|2010-07-16,2010-07-16,2012-07-04
python-3.x,5,py3|python3|python3k|py3k|python-3,25|24674|49|35|1529,26312,24674,2018-10-12|2013-12-19|2010-08-02|2010-08-02|2010-08-02,2010-08-02,2018-10-12
google-chrome,1,chrome,23851,23851,23851,2010-07-16,2010-07-16,2010-07-16
html,14,htm|html-syntax|html-head|html5|time-tag|webpage|span|html-comments|div-layouts|nested-divs|divs|div|html-attributes|html-tag,7|0|35|9981|0|1722|1002|4|23|4|441|8379|19|100,21717,9981,2024-10-13|2021-11-30|2020-07-24|2019-05-17|2019-05-17|2018-11-05|2014-05-20|2014-05-18|2014-05-04|2014-05-04|2014-05-04|2014-05-04|2014-01-07|2013-03-03,2013-03-03,2024-10-13
macos,3,osx|mac|macosx,1154|17881|2372,21407,17881,2017-12-08|2011-09-06|2010-07-16,2010-07-16,2017-12-08
vue.js,3,vue-js|vue|vuejs,32|14316|6728,21076,14316,2019-03-10|2017-10-24|2016-10-14,2016-10-14,2019-03-10
dictionary,3,map|dictionaries|dict,17210|1125|2243,20578,17210,2014-11-01|2013-04-05|2010-07-23,2010-07-23,2014-11-01
batch-file,9,cmd-script|batch|batch-script|winbatch|dos-batch|bat|.bat|batch-files|windows-batch,3|15899|536|14|74|2171|908|31|65,19701,15899,2014-09-26|2012-07-10|2012-07-10|2011-03-26|2011-03-26|2011-03-26|2011-03-26|2010-09-10|2010-08-08,2010-08-08,2014-09-26
angular,4,angularjs2|angular4.x|angular4|angular2,1|650|12229|6818,19698,12229,2019-05-03|2017-04-13|2017-04-13|2017-04-13,2017-04-13,2019-05-03
if-statement,10,if-condition|if-clause|elseif|ifelse|if-then|else|if-else|if-then-else|if-else-statement|if,22|2|383|1098|58|3311|555|33|49|13741,19252,13741,2014-11-06|2014-07-05|2013-07-15|2013-07-13|2013-06-10|2013-02-09|2011-12-02|2011-09-01|2011-09-01|2010-07-16,2010-07-16,2014-11-06
variables,2,vars|variable,136|18096,18232,18096,2014-02-08|2010-07-22,2010-07-22,2014-02-08
parsing,3,parse|parsers|parser,13792|114|4019,17925,13792,2010-07-25|2010-07-25|2010-07-25,2010-07-25,2010-07-25
apache-spark,2,spark|spark-cluster-framework,17723|108,17831,17723,2014-10-05|2014-03-10,2014-03-10,2014-10-05
sockets,3,bsd-sockets|socket-programming|socket,69|222|17172,17463,17172,2011-10-28|2010-07-22|2010-07-22,2010-07-22,2011-10-28
wordpress,12,wordpress-admin|wordpress-upgrade|wpdb|wordpress-plugin|wp-query|wordpress-theme-customize|wordpress-mu|wordpress-plugin-dev|wordpress-filter|wordpress-widget|wordpress-loop|wordpress-permission,50|0|482|13665|1483|670|4|189|18|24|140|5,16730,13665,2021-09-09|2021-09-09|2016-01-09|2016-01-06|2015-09-07|2015-09-10|2014-10-20|2014-10-20|2014-10-20|2014-10-20|2014-10-20|2015-01-03,2014-10-20,2021-09-09
image,4,pictures|picture|img|images,418|1467|2987|10725,15597,10725,2013-08-08|2013-08-08|2013-03-23|2010-07-23,2010-07-23,2013-08-08
